,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.2311671645778,1.3410728919278285,0.4654,0.3347
1,1.1436531323536185,1.2613009487747386,0.5779,0.4581
2,1.0852086612373402,1.159695259325064,0.6472,0.5693
3,1.0434119188861481,1.159648558136764,0.6945,0.5714
4,1.035427354323636,1.1875140021561057,0.7034,0.5471
5,1.0729881756624597,1.1428563348047294,0.6644,0.5918
6,1.0191866227775623,1.0945343379002468,0.7226,0.6442
7,0.9851676168715119,1.0920441689764617,0.755,0.6465
8,0.9591832984784606,1.0798218056654474,0.7815,0.6567
9,0.9370196454084603,1.055728815923071,0.8047,0.684
10,0.9338219412572825,1.0213350790321447,0.8072,0.7186
11,0.9250236073876642,1.026209277711856,0.8168,0.7126
12,0.9177240429410509,1.0229520638277576,0.8246,0.7154
13,0.915498685684933,1.0110976092375008,0.828,0.729
14,0.913139937030282,1.0010593882791556,0.8286,0.7365
15,0.9032240863058977,1.0061898869314012,0.8401,0.7353
16,0.9156659906077537,1.007331313221318,0.8269,0.7348
17,0.9131726531466101,1.0189406215005619,0.8289,0.719
18,0.9068577198465918,1.021843925403182,0.8357,0.718
19,0.9079559578257761,1.0103769750352118,0.8338,0.7302
20,0.9190604458948609,1.0147053363976206,0.823,0.7243
21,0.9042482918994442,1.0194969568282934,0.8381,0.7204
22,0.9135167784751601,1.0093028636495018,0.8277,0.7327
23,0.9129695698713801,1.0170448464193163,0.83,0.7208
24,0.9114356887568335,1.007408782175392,0.8322,0.7328
25,0.9107061951023758,1.0171132110486365,0.8302,0.7227
26,0.9053953350729244,1.0227428507653011,0.8372,0.7161
27,0.9167859478361288,1.0057488873506049,0.825,0.7353
28,0.9078605053531137,1.0125641864576158,0.8335,0.7263
29,0.904223033577014,1.0107052485654309,0.8378,0.7291
30,0.906227986903707,1.015208027165407,0.8364,0.7218
31,0.9127603139087652,1.0109563447107934,0.8283,0.7289
32,0.9136831957823152,1.0020500394948728,0.8288,0.7374
33,0.9062219341849066,1.0146581701412323,0.8355,0.7242
34,0.9105407922131241,1.0086035534834406,0.8332,0.7293
35,0.9140624730450333,1.010849362725665,0.8293,0.7274
36,0.9102185216678935,1.0148445599398035,0.832,0.7217
37,0.9126370355581782,1.0137329625475937,0.8299,0.7272
38,0.9165720947229179,1.0215860176238285,0.8275,0.7177
39,0.9107929783262265,1.008304043560271,0.8318,0.7295
40,0.9156665589399399,1.008492192644982,0.8263,0.7308
41,0.9143506964300848,1.005466567482918,0.8278,0.7364
42,0.9046637996746476,1.0172888811226863,0.8378,0.7187
43,0.9127356254371108,1.0147305643482574,0.8291,0.7248
44,0.9143746187732478,1.0147532832091022,0.8277,0.7252
45,0.9057756947104338,1.0051532323193397,0.8367,0.7362
46,0.9118975381942311,1.0152684556450813,0.831,0.7238
47,0.9110286433225984,1.011013385976196,0.832,0.7308
48,0.9177390769788414,1.0090206584353356,0.8246,0.7296
49,0.9115157176734535,1.0211234168641885,0.8297,0.7189
