,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.0876252146283532,1.3180949779073143,0.6448,0.4099
1,1.0208491155296375,1.1807631781906078,0.7139,0.5534
2,0.9669058049560353,1.1093055370506968,0.7714,0.6265
3,0.9470370468819976,1.1585418824936933,0.7916,0.5783
4,0.9317608365587368,1.0789859032934639,0.8112,0.6575
5,0.90614380957974,0.9458452273326315,0.835,0.7961
6,0.8618432902226782,0.9181736874732243,0.8806,0.8229
7,0.8450315366884705,0.8899617643113349,0.8978,0.8507
8,0.8246844558958795,0.8758191435959688,0.9184,0.8647
9,0.8163615966298777,0.8614346202771375,0.9266,0.8818
10,0.804945337544581,0.8475396993813241,0.9388,0.8968
11,0.8054327486426966,0.8413754682632009,0.9399,0.9012
12,0.802074118024984,0.8458698114771752,0.9421,0.8972
13,0.801256237515978,0.8449755584358409,0.9424,0.8981
14,0.7988649857272009,0.836585833388529,0.9454,0.9071
15,0.7986959712520526,0.8427499639000863,0.9455,0.9016
16,0.7996676947660507,0.8408230254604558,0.9444,0.9038
17,0.7974568487732274,0.8361590595761682,0.9466,0.9099
18,0.7979529742981978,0.8388843540173427,0.9449,0.9055
19,0.7977651213384738,0.8411949683146872,0.9464,0.9031
20,0.80243709208859,0.8353380583653784,0.9415,0.9095
21,0.8007633162152236,0.8396372445829355,0.9429,0.9049
22,0.7966963815840946,0.8397347167798668,0.9477,0.9053
23,0.796426738523374,0.8338368546431232,0.9478,0.9121
24,0.7973574677090736,0.8313203719770832,0.947,0.9127
25,0.797703815493614,0.8384715113670204,0.9464,0.9055
26,0.7999700638139324,0.8405410924534888,0.9436,0.9038
27,0.7986047936093276,0.8443061204472925,0.9449,0.9003
28,0.7957015823406778,0.8399003098724754,0.9489,0.905
29,0.7967665073977914,0.8410863018339607,0.9473,0.9029
30,0.7952664209778901,0.8397652859900407,0.9485,0.9057
31,0.7977203924185151,0.8398817773837193,0.9459,0.905
32,0.7986307994575258,0.835979540636585,0.9452,0.9088
33,0.7994718096058839,0.8431338740002577,0.9438,0.8997
34,0.8050375827558481,0.8379809438802635,0.9388,0.9061
35,0.8020040404265094,0.8394791001726867,0.9437,0.905
36,0.7983948037882519,0.8399911268501524,0.9458,0.9053
37,0.7995678273735533,0.8427679591877445,0.9457,0.9012
38,0.7988306488960412,0.8356863248879742,0.9448,0.9083
39,0.799552365852769,0.8350122897488297,0.9439,0.9101
40,0.797044699359092,0.8404041312302754,0.9469,0.904
41,0.79441387334447,0.8372190928762886,0.9498,0.907
42,0.7959341851009685,0.8380502428218817,0.9475,0.9063
43,0.7980130117410308,0.8391826304660481,0.9455,0.9042
44,0.800696651267398,0.8386801948213274,0.9434,0.9061
45,0.8007838122404305,0.8396251315523864,0.9426,0.9057
46,0.7998777168571569,0.8334188294258846,0.9445,0.9115
47,0.7959541033028038,0.8426442328532031,0.9477,0.9004
48,0.7983848171628964,0.8395407108744238,0.9454,0.9057
49,0.7964089793764102,0.8417776454785827,0.9479,0.9034
