,Loss,Accuracy,Precision,Recall,F1,Specificity
Train,0.7692675674037569,0.9765,0.9765484276938934,0.9765,0.9764625453785389,0.9921009555987774
Validation,0.8747492948914789,0.8822,0.8915299304951628,0.8822,0.8843231227505403,0.9586334296027638
Test,0.857506251335144,0.884375,0.8848394137695083,0.884375,0.8845215909835257,0.9
