,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.1483817844633843,1.3657205135199675,0.5741,0.3388
1,1.0893506681083873,1.2807867192918327,0.641,0.4477
2,1.0702767706221077,1.2668023891509719,0.664,0.4598
3,1.0563489054418673,1.2888446856456197,0.6779,0.4416
4,1.048442737312074,1.2828000601689526,0.6883,0.4469
5,0.9761233735995688,1.0646348090688134,0.765,0.6724
6,0.9539116655185724,1.0437856358327684,0.7863,0.6913
7,0.9333881033453971,1.054119896736874,0.8087,0.6849
8,0.9187714153793967,1.0519851317071611,0.8232,0.6863
9,0.9091377159592452,1.0570427934834912,0.8321,0.683
10,0.8977414289857172,1.0192347954792582,0.8447,0.7163
11,0.8921195633092504,1.0173611716859658,0.8499,0.7215
12,0.8952308023811146,1.0160155850610915,0.8483,0.7214
13,0.8932735540304974,1.0127223976858102,0.8511,0.7248
14,0.8891055671272764,1.0030529423124472,0.8536,0.7331
15,0.8950985529620177,1.0167209411122997,0.8497,0.7226
16,0.8931758418963973,0.9978009716720339,0.8494,0.7389
17,0.8815400399220218,1.0092762530229653,0.8616,0.7283
18,0.8833031923907577,1.007596912277732,0.8594,0.7321
19,0.8900180865245261,1.0136330575700019,0.8537,0.7256
20,0.8865742148107784,1.0088821736870297,0.8572,0.7302
21,0.887616950994844,1.0175565739346157,0.8551,0.722
22,0.8880015285151779,1.0109651232980619,0.8547,0.7289
23,0.8828014439078653,1.0176029110410412,0.8615,0.723
24,0.8875730269274135,1.0117921259752505,0.8574,0.7271
25,0.8889147730389978,1.0008018062372876,0.8544,0.7387
26,0.8882574317561593,1.0048597956159313,0.855,0.7356
27,0.8906535658107442,1.0117793162916875,0.8523,0.7262
28,0.8886075555139287,1.0069594781869535,0.8546,0.7324
29,0.8897953694033774,1.0015423529467005,0.8528,0.738
30,0.8914338824855295,1.0006772735316283,0.8515,0.7403
31,0.8821732766309361,1.016379055323874,0.8616,0.7233
32,0.8925095967426422,1.0031925728366633,0.8511,0.7382
33,0.8879967726719608,1.0116012358361748,0.8559,0.7283
34,0.8880292803618559,1.0182659432386896,0.8556,0.7221
35,0.8917803783325633,1.009289007278005,0.8507,0.7312
36,0.8839248399825612,1.0066817118104097,0.8588,0.7326
37,0.8802188376712191,1.004609894220996,0.8633,0.7365
38,0.8829346712987134,1.0126883763416556,0.8603,0.7279
39,0.8870154323091932,1.0090474903963174,0.8554,0.7302
40,0.8857928085479008,1.0113812719181086,0.8574,0.7281
41,0.8906176534427959,1.0056691405120168,0.8522,0.7339
42,0.886090193204819,1.0111405306560979,0.857,0.7275
43,0.8917446189625248,1.0155316006605792,0.8521,0.7236
44,0.8813813317353558,1.0129806414531295,0.8611,0.7265
45,0.8905148377084429,1.0120289428218914,0.8542,0.728
46,0.8851969944443673,1.0162054277529382,0.8584,0.7222
47,0.8869506094106443,1.0048822844104401,0.8561,0.7321
48,0.8887100401957324,1.0056772771154998,0.8552,0.7339
49,0.8880721361014494,1.007007580653877,0.8573,0.7324
