,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.1621521973306206,1.3862304869730762,0.561,0.3351
1,1.094668281306127,1.2908951590774924,0.6339,0.4371
2,1.0810859214728046,1.2512165330777503,0.6549,0.4788
3,1.052454695580112,1.2095250145644898,0.6835,0.5237
4,1.067966217827645,1.2072404968510768,0.6721,0.5278
5,1.0388234390574655,1.0942243466711348,0.7009,0.6433
6,1.0026924367163592,1.027324329515931,0.7364,0.7112
7,0.9865570121510013,1.0205896234816048,0.7543,0.7195
8,0.9816840256854986,1.0524476022477363,0.7605,0.6867
9,0.9669846505116505,1.0421404151400184,0.7748,0.6984
10,0.9587533701756957,1.030950332143504,0.7856,0.7051
11,0.9545274346497408,1.0192131453258977,0.7867,0.7202
12,0.948492117748139,1.0198521731765406,0.7922,0.721
13,0.942279956902668,1.0230650491775222,0.8003,0.7175
14,0.9451100101136858,1.0079660146099747,0.797,0.7329
15,0.9446227671993765,0.9963726792365882,0.7967,0.7428
16,0.9455374790604707,0.9856027858272479,0.7963,0.755
17,0.938930206617732,0.9934269068347421,0.8042,0.7492
18,0.9413187291212143,1.0042801047586332,0.7996,0.7389
19,0.9429051211685132,0.9975419492478583,0.7986,0.7443
20,0.9438104135974957,0.9933602901021387,0.7996,0.7479
21,0.9406184068151341,0.9946020416393402,0.8012,0.7484
22,0.9446219357715291,0.994555127468838,0.7983,0.7471
23,0.9422289850605521,0.9911978654800706,0.8011,0.7513
24,0.9451750596617438,0.999234041210952,0.7985,0.7427
25,0.9454158009237544,0.9888593873400597,0.798,0.7527
26,0.9420193266716732,0.9920367807339711,0.801,0.7515
27,0.9341845307380531,1.0043230986898872,0.8095,0.7376
28,0.9429936405200108,0.9839800307705144,0.8018,0.7589
29,0.9388826276845993,0.989755900422479,0.8039,0.754
30,0.9380575965164574,0.996378259294352,0.806,0.7449
31,0.9414319373240136,0.9945534357599392,0.8005,0.7496
32,0.9435719988148683,0.9924687716611631,0.8003,0.7488
33,0.9407367493696274,0.9950514557255301,0.8028,0.7474
34,0.9459953824425958,1.0042908829488573,0.7975,0.738
35,0.9328582051453317,0.9951141541171226,0.8089,0.7464
36,0.939877317209912,0.9895901767311582,0.8018,0.7542
37,0.9431086930499715,0.9881156629817501,0.8013,0.7539
38,0.9373160145085329,0.994741214308769,0.8062,0.7488
39,0.9405744960353633,1.0013351945360756,0.8027,0.7422
40,0.9387815890798143,0.9921566828800614,0.8049,0.7505
41,0.9430282241219927,1.001591429588901,0.8005,0.7405
42,0.9440745578450003,0.9900395012205574,0.7973,0.7527
43,0.9405414086238594,0.9838922847608093,0.8008,0.7591
44,0.9430154740430747,0.9979077888901826,0.7996,0.7461
45,0.9380489663713297,0.9908646869051988,0.8035,0.7499
46,0.9424519140249604,0.994765507187813,0.8009,0.7483
47,0.9431361533274316,0.9992762655968879,0.7993,0.7446
48,0.9429377131401353,0.9951541051743137,0.7991,0.7475
49,0.9353991879779062,0.9955421989890421,0.8066,0.7476
