,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.1216211486014591,1.3478581373858605,0.6042,0.378
1,1.1216159045316612,1.340204579055689,0.608,0.3899
2,1.05064359250342,1.274265867889307,0.6852,0.4596
3,1.0088027434743894,1.2086537822036987,0.7302,0.5269
4,1.0024650654975016,1.2718976982839547,0.7348,0.4644
5,0.9416681524294956,1.0997062982267636,0.7997,0.6363
6,0.9118377873851995,1.0958439142081389,0.83,0.6388
7,0.8955887252358115,1.064493012656072,0.8487,0.673
8,0.8843579914919131,1.061399777603757,0.8586,0.6745
9,0.8759100991449539,1.0552615386665247,0.8665,0.6817
10,0.8646494222294753,1.0285827976882838,0.8785,0.7103
11,0.8568830421775769,1.0250605629507903,0.8862,0.7165
12,0.8589634868749387,1.0319829123794653,0.8855,0.7059
13,0.8537988833561065,1.0328728378198708,0.8911,0.7063
14,0.8623275897305482,1.0277164198790387,0.8821,0.7123
15,0.8573546284323286,1.0129193147276616,0.8864,0.7276
16,0.8494614814497103,1.029382485872621,0.894,0.7101
17,0.8554800490664828,1.0281238612855317,0.8882,0.7115
18,0.8503267913107659,1.0339909085802212,0.894,0.7039
19,0.8520558590342284,1.028922188433872,0.8916,0.7117
20,0.8506598601675337,1.0313605882559613,0.8926,0.709
21,0.8514249898066186,1.0266333977887585,0.8925,0.7138
22,0.8513584755788184,1.0230929221317266,0.8908,0.7169
23,0.8517798751023165,1.0350463060057087,0.8911,0.7045
24,0.8560775374151339,1.0205081811376437,0.8871,0.72
25,0.8566928915916734,1.01886198285279,0.8862,0.7211
26,0.8574428843085173,1.024739662932742,0.8864,0.7141
27,0.8576062162210987,1.0272184796394057,0.8863,0.7126
28,0.8609235909334414,1.0246989001893694,0.8831,0.7142
29,0.8509119961671768,1.0211957457718577,0.892,0.7186
30,0.8537219330004067,1.032519303689337,0.8906,0.7073
31,0.8591689391500631,1.0291190151196377,0.8852,0.7114
32,0.8543117338684714,1.0173101406188527,0.889,0.723
33,0.8487208132531233,1.0326491685429955,0.8957,0.707
34,0.8515562487255995,1.0289731131997077,0.8931,0.7101
35,0.8558300414662452,1.0195954172474564,0.8884,0.7204
36,0.855592021896581,1.016842796924008,0.8876,0.7234
37,0.8525597506268009,1.0304811403250238,0.8899,0.7109
38,0.8515543702301706,1.0239151078424635,0.8916,0.7173
39,0.8565010853633759,1.027486375183057,0.8867,0.7109
40,0.8561106145761574,1.0232486075656428,0.8873,0.7165
41,0.8592138521990199,1.0274679918957363,0.8845,0.7127
42,0.8519775339752246,1.0256623337223272,0.8915,0.7137
43,0.8541894482958848,1.0199691315365444,0.8899,0.719
44,0.8534844331680589,1.0263665572852845,0.8897,0.7141
45,0.8561347984963921,1.019366314456721,0.887,0.7193
46,0.8526902316482203,1.0199651676378432,0.8904,0.72
47,0.8483582940071251,1.0350631950007882,0.8952,0.7044
48,0.8541322847840133,1.028644974064675,0.8899,0.7112
49,0.8525967263871697,1.0354473203610464,0.8918,0.7071
