,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.141156198112828,1.3537227712619078,0.5768,0.3486
1,1.0823174134181563,1.2714387952901756,0.6506,0.4592
2,1.0286224769179229,1.2067155883570386,0.7079,0.5247
3,0.9652170189626658,1.1427007355507772,0.7742,0.5941
4,0.9658768841415454,1.1498092075062405,0.7753,0.5875
5,0.8990002851577321,1.111533372265518,0.8429,0.6282
6,0.8796735922242426,1.0895260249733165,0.8624,0.6524
7,0.8631165612275433,1.0845250050733044,0.8796,0.657
8,0.8528556531401956,1.0697089224863963,0.8912,0.6716
9,0.8476336165598244,1.0653922049103268,0.8956,0.6738
10,0.8387250778781381,1.0445490449097505,0.9049,0.6977
11,0.8464894579474334,1.0435793255544772,0.8979,0.6962
12,0.8367975016308439,1.0402852198120895,0.9063,0.7002
13,0.8349452694510199,1.049285003334094,0.9081,0.689
14,0.8339650722066309,1.051241619951406,0.9087,0.6893
15,0.8306055141102736,1.0623350542062406,0.9127,0.6786
16,0.8305039052750655,1.0474836359358137,0.9134,0.6925
17,0.8298381650523775,1.0540804483328656,0.9138,0.6874
18,0.8313303149429856,1.0438948266065804,0.9125,0.6962
19,0.8356700232074519,1.0409561858814993,0.907,0.7011
20,0.8331573286633582,1.0485556216756249,0.9107,0.6922
21,0.8315847371793856,1.0443739993557049,0.9118,0.6964
22,0.8330095114221998,1.0410507340340098,0.9103,0.7007
23,0.8368035190424342,1.0419310145317369,0.9063,0.7002
24,0.8303415722148434,1.0613036554330473,0.9139,0.679
25,0.8328306690143172,1.0511616817705192,0.9104,0.6883
26,0.8308669613425139,1.0463592007661322,0.9126,0.6934
27,0.8362191763653117,1.0414794110188819,0.9076,0.6994
28,0.8362866169328143,1.0516063396338444,0.9081,0.6874
29,0.836374868253234,1.04473385081929,0.9077,0.6954
30,0.8302616412472573,1.044697817343815,0.9134,0.695
31,0.8339697194706862,1.0460579938189998,0.9098,0.6948
32,0.8301217210520605,1.0547302486790213,0.9137,0.6877
33,0.8297978301716459,1.0462694650243043,0.9136,0.6946
34,0.8296902737799724,1.0526257024449148,0.913,0.6882
35,0.8308930184431137,1.046332374879509,0.9118,0.6943
36,0.8304567223141908,1.0460721763076297,0.9144,0.6933
37,0.8290198058079762,1.054070632928496,0.915,0.6869
38,0.8319299357711889,1.0452939442768219,0.9117,0.6981
39,0.8303092801646822,1.051234624947712,0.9139,0.6896
40,0.8297032634164118,1.0417901979889839,0.9141,0.6982
41,0.8316107346753406,1.0436547075866893,0.9132,0.6957
42,0.8319938129680172,1.0464558776017208,0.911,0.6947
43,0.8352553874823698,1.0364238035147357,0.9084,0.7061
44,0.8339629283376561,1.0433416731038672,0.9091,0.6981
45,0.8364535391710366,1.0499062788714268,0.908,0.6935
46,0.8310718357942666,1.043346001843738,0.9125,0.699
47,0.8269573537407408,1.040703463326594,0.917,0.7012
48,0.8356430705185909,1.0480937020034546,0.9077,0.691
49,0.8316093326374224,1.0476800719643855,0.9124,0.6937
